Default schedule
Rate	71.43
CV	0.00
Kappa	0.00
Delta	0.00
Labda	0.00
Rev Jump	14.29
Prior Change	0.00
Est Data	0.00
Solo Tree Move	0.00
RJ Local Transform Add / Remove	0.00
Local Transform Move	0.00
Local Transform Change Scale	0.00
Local Transform Hyper Prior	0.00
Change Hetero	0.00
Tree Move	14.29
OU	0.00
Gamma	0.00
RJ Dummy Add / Remove	0.00
RJ Dummy Move Node	0.00
RJ Dummy Change Beta	0.00
Fat Tail Ans All	0.00
Fat Tail Ans	0.00
Geo Move All	0.00
Local Rates	0.00
Data Dist	0.00
Time Slice - Time	0.00
Time Slice - Scale	0.00
Global Rate	0.00
GlobalTrend-Change	0.00
Fabric Homo	0.00
Site Power	0.00
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
718	0.335655	157	0.012739	125	0.000000	0.493992	718	0.335655	0.243000	0.227958	
723	0.276625	141	0.000000	136	0.007353	0.493992	723	0.276625	0.201000	0.227944	
705	0.356028	138	0.028986	157	0.000000	0.493992	705	0.356028	0.255000	0.227976	
691	0.327062	150	0.033333	159	0.000000	0.493992	691	0.327062	0.231000	0.227967	
720	0.295833	151	0.039735	129	0.000000	0.493992	720	0.295833	0.219000	0.227975	
705	0.317730	143	0.041958	152	0.000000	0.493992	705	0.317730	0.230000	0.227978	
718	0.307799	145	0.034483	137	0.000000	0.493992	718	0.307799	0.226000	0.227994	
726	0.315427	137	0.000000	137	0.000000	0.493992	726	0.315427	0.229000	0.228002	
699	0.323319	162	0.000000	139	0.000000	0.493992	699	0.323319	0.226000	0.228020	
719	0.292072	135	0.000000	146	0.013699	0.493992	719	0.292072	0.212000	0.228012	
730	0.289041	134	0.022388	136	0.000000	0.493992	730	0.289041	0.214000	0.228012	
699	0.307582	132	0.037879	169	0.005917	0.493992	699	0.307582	0.221000	0.228017	
701	0.296719	158	0.025316	141	0.000000	0.493992	701	0.296719	0.212000	0.228005	
667	0.290855	172	0.034884	161	0.006211	0.493992	667	0.290855	0.201000	0.228007	
708	0.377119	142	0.014085	150	0.000000	0.493992	708	0.377119	0.269000	0.228035	
718	0.331476	137	0.021898	145	0.000000	0.493992	718	0.331476	0.241000	0.228073	
740	0.345946	126	0.007937	134	0.000000	0.493992	740	0.345946	0.257000	0.228091	
722	0.283934	137	0.000000	141	0.000000	0.493992	722	0.283934	0.205000	0.228085	
725	0.292414	130	0.030769	145	0.000000	0.493992	725	0.292414	0.216000	0.228064	
704	0.336648	145	0.027586	151	0.000000	0.493992	704	0.336648	0.241000	0.228064	
715	0.302098	153	0.071895	132	0.000000	0.493992	715	0.302098	0.227000	0.228077	
710	0.285915	139	0.021583	151	0.000000	0.493992	710	0.285915	0.206000	0.228068	
696	0.288793	145	0.041379	159	0.000000	0.493992	696	0.288793	0.207000	0.228055	
702	0.296296	152	0.032895	146	0.000000	0.493992	702	0.296296	0.213000	0.228053	
728	0.321429	150	0.013333	122	0.000000	0.493992	728	0.321429	0.236000	0.228073	
