Default schedule
Rate	71.43
Rev Jump	14.29
Tree Move	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
734	0.313351	125	0.032000	141	0.000000	0.523429	734	0.313351	0.234000	0.202074	
686	0.298834	156	0.032051	158	0.006329	0.523429	686	0.298834	0.211000	0.202080	
723	0.262794	135	0.014815	142	0.000000	0.523429	723	0.262794	0.192000	0.202098	
699	0.294707	130	0.015385	171	0.000000	0.523429	699	0.294707	0.208000	0.202113	
702	0.299145	141	0.007092	157	0.006369	0.523429	702	0.299145	0.212000	0.202097	
737	0.276798	126	0.023810	137	0.007299	0.523429	737	0.276798	0.208000	0.202112	
727	0.268226	128	0.015625	145	0.006897	0.523429	727	0.268226	0.198000	0.202130	
713	0.272090	139	0.043165	148	0.000000	0.523429	713	0.272090	0.200000	0.202155	
680	0.263235	153	0.032680	167	0.000000	0.523429	680	0.263235	0.184000	0.202158	
733	0.249659	130	0.007692	137	0.000000	0.523429	733	0.249659	0.184000	0.202113	
693	0.292929	132	0.007576	175	0.000000	0.523429	693	0.292929	0.204000	0.202123	
685	0.254015	132	0.030303	183	0.000000	0.523429	685	0.254015	0.178000	0.202111	
718	0.279944	136	0.014706	146	0.000000	0.523429	718	0.279944	0.203000	0.202100	
717	0.288703	147	0.013605	136	0.000000	0.523429	717	0.288703	0.209000	0.202137	
697	0.295552	129	0.038760	174	0.000000	0.523429	697	0.295552	0.211000	0.202123	
681	0.289280	164	0.018293	155	0.000000	0.523429	681	0.289280	0.200000	0.202117	
685	0.297810	136	0.029412	179	0.000000	0.523429	685	0.297810	0.208000	0.202120	
702	0.273504	150	0.033333	148	0.000000	0.523429	702	0.273504	0.197000	0.202130	
662	0.287009	152	0.013158	186	0.000000	0.523429	662	0.287009	0.192000	0.202157	
671	0.259314	116	0.025862	213	0.004695	0.523429	671	0.259314	0.178000	0.202167	
704	0.294034	140	0.014286	156	0.000000	0.523429	704	0.294034	0.209000	0.202162	
751	0.256991	126	0.055556	123	0.008130	0.523429	751	0.256991	0.201000	0.202175	
700	0.272857	148	0.000000	152	0.000000	0.523429	700	0.272857	0.191000	0.202217	
713	0.245442	130	0.023077	157	0.006369	0.523429	713	0.245442	0.179000	0.202205	
724	0.303867	111	0.009009	165	0.012121	0.523429	724	0.303867	0.223000	0.202225	
720	0.288889	123	0.040650	157	0.000000	0.523429	720	0.288889	0.213000	0.202242	
726	0.253444	150	0.006667	124	0.000000	0.523429	726	0.253444	0.185000	0.202274	
690	0.269565	162	0.000000	148	0.006757	0.523429	690	0.269565	0.187000	0.202261	
714	0.271709	118	0.025424	168	0.000000	0.523429	714	0.271709	0.197000	0.202260	
741	0.288799	113	0.008850	146	0.000000	0.523429	741	0.288799	0.215000	0.202272	
740	0.289189	144	0.020833	116	0.000000	0.523429	740	0.289189	0.217000	0.202286	
731	0.290014	130	0.023077	139	0.000000	0.523429	731	0.290014	0.215000	0.202307	
673	0.280832	130	0.061538	197	0.010152	0.523429	673	0.280832	0.199000	0.202292	
714	0.289916	131	0.022901	155	0.006452	0.523429	714	0.289916	0.211000	0.202320	
693	0.238095	156	0.000000	151	0.000000	0.523429	693	0.238095	0.165000	0.202288	
707	0.256011	159	0.012579	134	0.007463	0.523429	707	0.256011	0.184000	0.202287	
727	0.288858	132	0.015152	141	0.000000	0.523429	727	0.288858	0.212000	0.202307	
703	0.256046	141	0.000000	156	0.000000	0.523429	703	0.256046	0.180000	0.202293	
733	0.281037	153	0.032680	114	0.000000	0.523429	733	0.281037	0.211000	0.202271	
713	0.349229	141	0.056738	146	0.000000	0.523429	713	0.349229	0.257000	0.202272	
731	0.285910	137	0.007299	132	0.000000	0.523429	731	0.285910	0.210000	0.202291	
679	0.237113	116	0.034483	205	0.000000	0.523429	679	0.237113	0.165000	0.202261	
734	0.249319	118	0.008475	148	0.000000	0.523429	734	0.249319	0.184000	0.202254	
714	0.273109	113	0.008850	173	0.011561	0.523429	714	0.273109	0.198000	0.202255	
713	0.255259	122	0.073770	165	0.000000	0.523429	713	0.255259	0.191000	0.202246	
739	0.303112	103	0.019417	158	0.006329	0.523429	739	0.303112	0.227000	0.202273	
703	0.304410	146	0.027397	151	0.000000	0.523429	703	0.304410	0.218000	0.202266	
689	0.290276	142	0.021127	169	0.000000	0.523429	689	0.290276	0.203000	0.202275	
719	0.265647	147	0.027211	134	0.014925	0.523429	719	0.265647	0.197000	0.202259	
700	0.294286	116	0.008621	184	0.000000	0.523429	700	0.294286	0.207000	0.202229	
